Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751109366,1000,,Aggregated,501.600000,0.000000,4,5,300,470,770,920,1100,1100,1200,1300,1300,12145,0,4,186.35769794755126,2.1659480007656384,1300.3468669994618,36.31123919308357
1751109367,1000,,Aggregated,498.100000,0.000000,4,5,250,440,760,910,1100,1100,1200,1300,1300,12654,0,4,178.99956106164248,2.1659480007656384,1300.3468669994618,34.85064011379801
1751109368,1000,,Aggregated,497.700000,0.000000,4,5,210,420,740,900,1000,1100,1200,1300,1300,13150,0,4,172.37658310912815,2.1659480007656384,1300.3468669994618,33.536121673003805
1751109369,1000,,Aggregated,500.900000,0.000000,4,5,150,390,730,900,1000,1100,1200,1300,1300,13651,0,4,166.21080766017505,2.1659480007656384,1300.3468669994618,32.3053256171709
1751109370,1000,,Aggregated,499.700000,0.000000,4,5,57,360,720,890,1000,1100,1200,1300,1300,14148,0,4,160.48850868412882,2.1659480007656384,1300.3468669994618,31.170483460559797
1751109371,1000,,Aggregated,499.800000,0.000000,4,4,10,330,710,880,1000,1100,1200,1300,1300,14648,0,4,155.12991071894055,2.1659480007656384,1300.3468669994618,30.106499180775533
1751109372,1000,,Aggregated,500.400000,0.000000,4,4,6,300,690,880,1000,1100,1200,1300,1300,15164,0,4,149.97353552031402,2.1659480007656384,1300.3468669994618,29.082036402004746
1751109373,1000,,Aggregated,502.000000,0.000000,4,4,6,270,680,870,1000,1100,1200,1300,1300,15653,0,4,145.39598060461427,2.1659480007656384,1300.3468669994618,28.173513064588256
1751109374,1000,,Aggregated,500.800000,0.000000,4,4,6,230,670,870,1000,1100,1200,1300,1300,16139,0,4,141.12701344216066,2.1659480007656384,1300.3468669994618,27.325113080116488
1751109375,1000,,Aggregated,502.100000,0.000000,4,4,6,190,660,860,1000,1100,1200,1300,1300,16651,0,4,136.90379185796812,2.1659480007656384,1300.3468669994618,26.48489580205393
1751109376,1000,,Aggregated,500.100000,0.000000,3,4,5,140,640,850,1000,1100,1200,1300,1300,17141,0,3,133.0848138695539,2.1659480007656384,1300.3468669994618,25.72778717694417
1751109377,1000,,Aggregated,502.500000,0.000000,3,4,5,72,630,850,1000,1100,1200,1300,1300,17625,0,3,129.53527849793082,2.1659480007656384,1300.3468669994618,25.02127659574468
1751109378,1000,,Aggregated,500.500000,0.000000,3,4,5,16,620,840,1000,1100,1200,1300,1300,18164,0,3,125.83264988620517,2.1659480007656384,1300.3468669994618,24.278793217353005
1751109379,1000,,Aggregated,496.600000,0.000000,3,4,5,8,610,840,1000,1100,1200,1300,1300,18679,0,3,122.45994045628966,2.1659480007656384,1300.3468669994618,23.609400931527382
1751109380,1000,,Aggregated,501.600000,0.000000,3,4,5,7,600,830,1000,1100,1200,1300,1300,19163,0,3,119.4509843817781,2.1659480007656384,1300.3468669994618,23.01309815790847
1751109381,1000,,Aggregated,500.200000,0.000000,3,4,5,6,590,820,990,1100,1200,1300,1300,19650,0,3,116.57792966549681,2.1659480007656384,1300.3468669994618,22.442748091603054
1751109382,1000,,Aggregated,500.500000,0.000000,3,4,5,6,570,820,990,1100,1200,1300,1300,20119,0,3,113.93964260211807,2.1659480007656384,1300.3468669994618,21.919578507878125
1751109383,1000,,Aggregated,498.500000,0.000000,3,4,5,6,560,810,980,1100,1200,1300,1300,20645,0,3,111.12683163720101,2.1659480007656384,1300.3468669994618,21.361104383627996
1751109384,1000,,Aggregated,499.300000,0.000000,3,4,5,6,550,810,970,1100,1200,1300,1300,21110,0,3,108.75222189966885,2.1659480007656384,1300.3468669994618,20.89057318806253
1751109385,1000,,Aggregated,498.700000,0.000000,3,4,5,6,540,800,970,1100,1200,1300,1300,21641,0,3,106.16858406349048,2.1659480007656384,1300.3468669994618,20.377986229841504
