Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,APIKey /auth-apikey,57781,0,1,3.064925539015712,0.9267330005968688,90.6164699999863,0.0,484.89979042538323,0.0,1,2,2,2,3,4,35,59,85,90,91
,Aggregated,57781,0,1,3.064925539015712,0.9267330005968688,90.6164699999863,0.0,484.89979042538323,0.0,1,2,2,2,3,4,35,59,85,90,91
